Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2024-01-01T00:00;2024-01-01T00:15;1;EUR;MWh;NO;NO;83.22;-46.72;83.22;-46.72;2;UP_AND_DOWN
2024-01-01T00:15;2024-01-01T00:30;2;EUR;MWh;NO;NO;76.91;;76.91;76.91;1;UP
2024-01-01T00:30;2024-01-01T00:45;3;EUR;MWh;NO;NO;66.91;;66.91;66.91;1;UP
2024-01-01T00:45;2024-01-01T01:00;4;EUR;MWh;NO;NO;66.91;;66.91;66.91;1;UP
2024-01-01T01:00;2024-01-01T01:15;5;EUR;MWh;NO;NO;81.13;;81.13;81.13;1;UP
2024-01-01T01:15;2024-01-01T01:30;6;EUR;MWh;NO;NO;76.91;-17.8;76.91;-17.8;2;UP_AND_DOWN
2024-01-01T01:30;2024-01-01T01:45;7;EUR;MWh;NO;NO;82.79;-8.81;82.79;-8.81;2;UP_AND_DOWN
2024-01-01T01:45;2024-01-01T02:00;8;EUR;MWh;NO;NO;73.68;-26.1;73.68;-26.1;2;UP_AND_DOWN
2024-01-01T02:00;2024-01-01T02:15;9;EUR;MWh;NO;NO;94.13;-31.85;94.13;-31.85;2;UP_AND_DOWN
2024-01-01T02:15;2024-01-01T02:30;10;EUR;MWh;NO;NO;73.66;-8.81;73.66;73.66;1;UP
2024-01-01T02:30;2024-01-01T02:45;11;EUR;MWh;NO;NO;;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T02:45;2024-01-01T03:00;12;EUR;MWh;NO;NO;87.47;-28.42;87.47;-28.42;2;UP_AND_DOWN
2024-01-01T03:00;2024-01-01T03:15;13;EUR;MWh;NO;NO;78.11;;78.11;78.11;1;UP
2024-01-01T03:15;2024-01-01T03:30;14;EUR;MWh;NO;NO;64.9;;64.9;64.9;1;UP
2024-01-01T03:30;2024-01-01T03:45;15;EUR;MWh;NO;NO;;-17.8;-17.8;-17.8;-1;DOWN
2024-01-01T03:45;2024-01-01T04:00;16;EUR;MWh;NO;NO;85.2;-45.33;85.2;-45.33;2;UP_AND_DOWN
2024-01-01T04:00;2024-01-01T04:15;17;EUR;MWh;NO;NO;104.51;-37.54;104.51;-37.54;2;UP_AND_DOWN
2024-01-01T04:15;2024-01-01T04:30;18;EUR;MWh;NO;NO;;;28.05;28.05;0;STABLE
2024-01-01T04:30;2024-01-01T04:45;19;EUR;MWh;NO;NO;79.05;-8.81;79.05;-8.81;2;UP_AND_DOWN
2024-01-01T04:45;2024-01-01T05:00;20;EUR;MWh;NO;NO;79.05;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T05:00;2024-01-01T05:15;21;EUR;MWh;NO;NO;;-8.81;28.05;28.05;0;STABLE
2024-01-01T05:15;2024-01-01T05:30;22;EUR;MWh;NO;NO;;-27.32;-27.32;-27.32;-1;DOWN
2024-01-01T05:30;2024-01-01T05:45;23;EUR;MWh;NO;NO;;-30.3;-30.3;-30.3;-1;DOWN
2024-01-01T05:45;2024-01-01T06:00;24;EUR;MWh;NO;NO;;-28.42;-28.42;-28.42;-1;DOWN
2024-01-01T06:00;2024-01-01T06:15;25;EUR;MWh;NO;NO;70.31;-73.38;70.31;-73.38;2;UP_AND_DOWN
2024-01-01T06:15;2024-01-01T06:30;26;EUR;MWh;NO;NO;;;27.07;27.07;0;STABLE
2024-01-01T06:30;2024-01-01T06:45;27;EUR;MWh;NO;NO;77.11;;77.11;77.11;1;UP
2024-01-01T06:45;2024-01-01T07:00;28;EUR;MWh;NO;NO;73.66;;73.66;73.66;1;UP
2024-01-01T07:00;2024-01-01T07:15;29;EUR;MWh;NO;NO;86.13;;86.13;86.13;1;UP
2024-01-01T07:15;2024-01-01T07:30;30;EUR;MWh;NO;NO;62.99;-77.88;62.99;-77.88;2;UP_AND_DOWN
2024-01-01T07:30;2024-01-01T07:45;31;EUR;MWh;NO;NO;;-29.99;-29.99;-29.99;-1;DOWN
2024-01-01T07:45;2024-01-01T08:00;32;EUR;MWh;NO;NO;64.32;;64.32;64.32;1;UP
2024-01-01T08:00;2024-01-01T08:15;33;EUR;MWh;NO;NO;64.91;-83.43;64.91;-83.43;2;UP_AND_DOWN
2024-01-01T08:15;2024-01-01T08:30;34;EUR;MWh;NO;NO;;-55.88;-55.88;-55.88;-1;DOWN
2024-01-01T08:30;2024-01-01T08:45;35;EUR;MWh;NO;NO;;-60.7;-60.7;-60.7;-1;DOWN
2024-01-01T08:45;2024-01-01T09:00;36;EUR;MWh;NO;NO;;-166.18;-166.18;-166.18;-1;DOWN
2024-01-01T09:00;2024-01-01T09:15;37;EUR;MWh;NO;NO;;-45.56;-45.56;-45.56;-1;DOWN
2024-01-01T09:15;2024-01-01T09:30;38;EUR;MWh;NO;NO;;;28.05;28.05;0;STABLE
2024-01-01T09:30;2024-01-01T09:45;39;EUR;MWh;NO;NO;;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T09:45;2024-01-01T10:00;40;EUR;MWh;NO;NO;;-14.87;-14.87;-14.87;-1;DOWN
2024-01-01T10:00;2024-01-01T10:15;41;EUR;MWh;NO;NO;;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T10:15;2024-01-01T10:30;42;EUR;MWh;NO;NO;;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T10:30;2024-01-01T10:45;43;EUR;MWh;NO;NO;;-17.19;-17.19;-17.19;-1;DOWN
2024-01-01T10:45;2024-01-01T11:00;44;EUR;MWh;NO;NO;;-17.19;-17.19;-17.19;-1;DOWN
2024-01-01T11:00;2024-01-01T11:15;45;EUR;MWh;NO;NO;;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T11:15;2024-01-01T11:30;46;EUR;MWh;NO;NO;;-9.51;-9.51;-9.51;-1;DOWN
2024-01-01T11:30;2024-01-01T11:45;47;EUR;MWh;NO;NO;;-28.42;-28.42;-28.42;-1;DOWN
2024-01-01T11:45;2024-01-01T12:00;48;EUR;MWh;NO;NO;;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T12:00;2024-01-01T12:15;49;EUR;MWh;NO;NO;;-8.81;-8.81;-8.81;-1;DOWN
2024-01-01T12:15;2024-01-01T12:30;50;EUR;MWh;NO;NO;;;30.06;30.06;0;STABLE
2024-01-01T12:30;2024-01-01T12:45;51;EUR;MWh;NO;NO;;;27.43;27.43;0;STABLE
2024-01-01T12:45;2024-01-01T13:00;52;EUR;MWh;NO;NO;;;32.16;32.16;0;STABLE
2024-01-01T13:00;2024-01-01T13:15;53;EUR;MWh;NO;NO;;;32.16;32.16;0;STABLE
2024-01-01T13:15;2024-01-01T13:30;54;EUR;MWh;NO;NO;;-20.84;-20.84;-20.84;-1;DOWN
2024-01-01T13:30;2024-01-01T13:45;55;EUR;MWh;NO;NO;63.83;-20.72;-20.72;-20.72;-1;DOWN
2024-01-01T13:45;2024-01-01T14:00;56;EUR;MWh;NO;NO;72.79;;72.79;72.79;1;UP
2024-01-01T14:00;2024-01-01T14:15;57;EUR;MWh;NO;NO;;;29.24;29.24;0;STABLE
2024-01-01T14:15;2024-01-01T14:30;58;EUR;MWh;NO;NO;;;29.24;29.24;0;STABLE
2024-01-01T14:30;2024-01-01T14:45;59;EUR;MWh;NO;NO;;;29.24;29.24;0;STABLE
2024-01-01T14:45;2024-01-01T15:00;60;EUR;MWh;NO;NO;;;29.24;29.24;0;STABLE
2024-01-01T15:00;2024-01-01T15:15;61;EUR;MWh;NO;NO;;;27.12;27.12;0;STABLE
2024-01-01T15:15;2024-01-01T15:30;62;EUR;MWh;NO;NO;86.13;;86.13;86.13;1;UP
2024-01-01T15:30;2024-01-01T15:45;63;EUR;MWh;NO;NO;105.53;;105.53;105.53;1;UP
2024-01-01T15:45;2024-01-01T16:00;64;EUR;MWh;NO;NO;121.12;;121.12;121.12;1;UP
2024-01-01T16:00;2024-01-01T16:15;65;EUR;MWh;NO;NO;88.13;-47.19;88.13;-47.19;2;UP_AND_DOWN
2024-01-01T16:15;2024-01-01T16:30;66;EUR;MWh;NO;NO;81.13;-15.74;81.13;-15.74;2;UP_AND_DOWN
2024-01-01T16:30;2024-01-01T16:45;67;EUR;MWh;NO;NO;81.13;;81.13;81.13;1;UP
2024-01-01T16:45;2024-01-01T17:00;68;EUR;MWh;NO;NO;86.57;;86.57;86.57;1;UP
2024-01-01T17:00;2024-01-01T17:15;69;EUR;MWh;NO;NO;62.84;;62.84;62.84;1;UP
2024-01-01T17:15;2024-01-01T17:30;70;EUR;MWh;NO;NO;95.16;;95.16;95.16;1;UP
2024-01-01T17:30;2024-01-01T17:45;71;EUR;MWh;NO;NO;181.55;;181.55;181.55;1;UP
2024-01-01T17:45;2024-01-01T18:00;72;EUR;MWh;NO;NO;501.35;-79.57;501.35;-79.57;2;UP_AND_DOWN
2024-01-01T18:00;2024-01-01T18:15;73;EUR;MWh;NO;NO;97.78;-142.04;97.78;-142.04;2;UP_AND_DOWN
2024-01-01T18:15;2024-01-01T18:30;74;EUR;MWh;NO;NO;;32.13;32.13;32.13;-1;DOWN
2024-01-01T18:30;2024-01-01T18:45;75;EUR;MWh;NO;NO;;25.13;37.07;37.07;0;STABLE
2024-01-01T18:45;2024-01-01T19:00;76;EUR;MWh;NO;NO;88.13;-270.12;88.13;-270.12;2;UP_AND_DOWN
2024-01-01T19:00;2024-01-01T19:15;77;EUR;MWh;NO;NO;79.13;-265.63;79.13;-265.63;2;UP_AND_DOWN
2024-01-01T19:15;2024-01-01T19:30;78;EUR;MWh;NO;NO;;-184.11;-184.11;-184.11;-1;DOWN
2024-01-01T19:30;2024-01-01T19:45;79;EUR;MWh;NO;NO;;-31.83;-31.83;-31.83;-1;DOWN
2024-01-01T19:45;2024-01-01T20:00;80;EUR;MWh;NO;NO;88.13;-24.73;88.13;-24.73;2;UP_AND_DOWN
2024-01-01T20:00;2024-01-01T20:15;81;EUR;MWh;NO;NO;1832.2;;1832.2;1832.2;1;UP
2024-01-01T20:15;2024-01-01T20:30;82;EUR;MWh;NO;NO;1832.2;;1832.2;1832.2;1;UP
