Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2023-01-01T00:00;2023-01-01T00:15;1;EUR;MWh;NO;NO;;-209.4;-209.4;-209.4;-1;DOWN
2023-01-01T00:15;2023-01-01T00:30;2;EUR;MWh;NO;NO;;-23.3;-23.3;-23.3;-1;DOWN
2023-01-01T00:30;2023-01-01T00:45;3;EUR;MWh;NO;NO;;-25.62;-25.62;-25.62;-1;DOWN
2023-01-01T00:45;2023-01-01T01:00;4;EUR;MWh;NO;NO;;-40.62;-40.62;-40.62;-1;DOWN
2023-01-01T01:00;2023-01-01T01:15;5;EUR;MWh;NO;NO;32.78;-40.62;32.78;32.78;1;UP
2023-01-01T01:15;2023-01-01T01:30;6;EUR;MWh;NO;NO;35.06;;35.06;35.06;1;UP
2023-01-01T01:30;2023-01-01T01:45;7;EUR;MWh;NO;NO;30;;30;30;1;UP
2023-01-01T01:45;2023-01-01T02:00;8;EUR;MWh;NO;NO;30;;30;30;1;UP
2023-01-01T02:00;2023-01-01T02:15;9;EUR;MWh;NO;NO;30;;30;30;1;UP
2023-01-01T02:15;2023-01-01T02:30;10;EUR;MWh;NO;NO;30;;30;30;1;UP
2023-01-01T02:30;2023-01-01T02:45;11;EUR;MWh;NO;NO;30;;30;30;1;UP
2023-01-01T02:45;2023-01-01T03:00;12;EUR;MWh;NO;NO;;-10.46;-10.46;-10.46;-1;DOWN
2023-01-01T03:00;2023-01-01T03:15;13;EUR;MWh;NO;NO;;-23.07;-23.07;-23.07;-1;DOWN
2023-01-01T03:15;2023-01-01T03:30;14;EUR;MWh;NO;NO;;-14.19;-14.19;-14.19;-1;DOWN
2023-01-01T03:30;2023-01-01T03:45;15;EUR;MWh;NO;NO;;-27.69;-27.69;-27.69;-1;DOWN
2023-01-01T03:45;2023-01-01T04:00;16;EUR;MWh;NO;NO;;-20.19;-20.19;-20.19;-1;DOWN
2023-01-01T04:00;2023-01-01T04:15;17;EUR;MWh;NO;NO;;-21.47;-21.47;-21.47;-1;DOWN
2023-01-01T04:15;2023-01-01T04:30;18;EUR;MWh;NO;NO;;-22.27;-22.27;-22.27;-1;DOWN
2023-01-01T04:30;2023-01-01T04:45;19;EUR;MWh;NO;NO;;-21.18;-21.18;-21.18;-1;DOWN
2023-01-01T04:45;2023-01-01T05:00;20;EUR;MWh;NO;NO;;-31.62;-31.62;-31.62;-1;DOWN
2023-01-01T05:00;2023-01-01T05:15;21;EUR;MWh;NO;NO;;-44.67;-44.67;-44.67;-1;DOWN
2023-01-01T05:15;2023-01-01T05:30;22;EUR;MWh;NO;NO;;-30.93;-30.93;-30.93;-1;DOWN
2023-01-01T05:30;2023-01-01T05:45;23;EUR;MWh;NO;NO;;-20.66;-20.66;-20.66;-1;DOWN
2023-01-01T05:45;2023-01-01T06:00;24;EUR;MWh;NO;NO;;-20.64;-20.64;-20.64;-1;DOWN
2023-01-01T06:00;2023-01-01T06:15;25;EUR;MWh;NO;NO;;-36.91;-36.91;-36.91;-1;DOWN
2023-01-01T06:15;2023-01-01T06:30;26;EUR;MWh;NO;NO;;-14.85;-14.85;-14.85;-1;DOWN
2023-01-01T06:30;2023-01-01T06:45;27;EUR;MWh;NO;NO;;-10.62;-10.62;-10.62;-1;DOWN
2023-01-01T06:45;2023-01-01T07:00;28;EUR;MWh;NO;NO;;-357.5;-357.5;-357.5;-1;DOWN
2023-01-01T07:00;2023-01-01T07:15;29;EUR;MWh;NO;NO;;-301.67;-301.67;-301.67;-1;DOWN
2023-01-01T07:15;2023-01-01T07:30;30;EUR;MWh;NO;NO;;-147.94;-147.94;-147.94;-1;DOWN
2023-01-01T07:30;2023-01-01T07:45;31;EUR;MWh;NO;NO;;-59.18;-59.18;-59.18;-1;DOWN
2023-01-01T07:45;2023-01-01T08:00;32;EUR;MWh;NO;NO;;-54.1;-54.1;-54.1;-1;DOWN
2023-01-01T08:00;2023-01-01T08:15;33;EUR;MWh;NO;NO;;-131.81;-131.81;-131.81;-1;DOWN
2023-01-01T08:15;2023-01-01T08:30;34;EUR;MWh;NO;NO;;-45.19;-45.19;-45.19;-1;DOWN
2023-01-01T08:30;2023-01-01T08:45;35;EUR;MWh;NO;NO;;-27.69;-27.69;-27.69;-1;DOWN
2023-01-01T08:45;2023-01-01T09:00;36;EUR;MWh;NO;NO;;-36.69;-36.69;-36.69;-1;DOWN
2023-01-01T09:00;2023-01-01T09:15;37;EUR;MWh;NO;NO;;-183.89;-183.89;-183.89;-1;DOWN
2023-01-01T09:15;2023-01-01T09:30;38;EUR;MWh;NO;NO;;-20.97;-20.97;-20.97;-1;DOWN
2023-01-01T09:30;2023-01-01T09:45;39;EUR;MWh;NO;NO;;-10.62;-10.62;-10.62;-1;DOWN
2023-01-01T09:45;2023-01-01T10:00;40;EUR;MWh;NO;NO;;-15.62;-15.62;-15.62;-1;DOWN
2023-01-01T10:00;2023-01-01T10:15;41;EUR;MWh;NO;NO;67.06;-25.62;67.06;-25.62;2;UP_AND_DOWN
2023-01-01T10:15;2023-01-01T10:30;42;EUR;MWh;NO;NO;;-25.62;-25.62;-25.62;-1;DOWN
2023-01-01T10:30;2023-01-01T10:45;43;EUR;MWh;NO;NO;;-50;-50;-50;-1;DOWN
2023-01-01T10:45;2023-01-01T11:00;44;EUR;MWh;NO;NO;;-50;-50;-50;-1;DOWN
2023-01-01T11:00;2023-01-01T11:15;45;EUR;MWh;NO;NO;;-46.04;-46.04;-46.04;-1;DOWN
2023-01-01T11:15;2023-01-01T11:30;46;EUR;MWh;NO;NO;;-207.5;-207.5;-207.5;-1;DOWN
2023-01-01T11:30;2023-01-01T11:45;47;EUR;MWh;NO;NO;;-207.5;-207.5;-207.5;-1;DOWN
2023-01-01T11:45;2023-01-01T12:00;48;EUR;MWh;NO;NO;;-170;-170;-170;-1;DOWN
2023-01-01T12:00;2023-01-01T12:15;49;EUR;MWh;NO;NO;;-40.62;-40.62;-40.62;-1;DOWN
2023-01-01T12:15;2023-01-01T12:30;50;EUR;MWh;NO;NO;;-25.62;-25.62;-25.62;-1;DOWN
2023-01-01T12:30;2023-01-01T12:45;51;EUR;MWh;NO;NO;;;27.32;27.32;0;STABLE
2023-01-01T12:45;2023-01-01T13:00;52;EUR;MWh;NO;NO;;-60.62;-60.62;-60.62;-1;DOWN
2023-01-01T13:00;2023-01-01T13:15;53;EUR;MWh;NO;NO;;-140;-140;-140;-1;DOWN
2023-01-01T13:15;2023-01-01T13:30;54;EUR;MWh;NO;NO;;-15.62;-15.62;-15.62;-1;DOWN
2023-01-01T13:30;2023-01-01T13:45;55;EUR;MWh;NO;NO;;-15.62;-15.62;-15.62;-1;DOWN
2023-01-01T13:45;2023-01-01T14:00;56;EUR;MWh;NO;NO;30;-15.62;30;30;1;UP
2023-01-01T14:00;2023-01-01T14:15;57;EUR;MWh;NO;NO;64.86;-127.46;64.86;-127.46;2;UP_AND_DOWN
2023-01-01T14:15;2023-01-01T14:30;58;EUR;MWh;NO;NO;;-14.19;-14.19;-14.19;-1;DOWN
