Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2022-01-01T00:00;2022-01-01T00:15;1;EUR;MWh;NO;NO;;-51.9;-51.9;-51.9;-1;DOWN
2022-01-01T00:15;2022-01-01T00:30;2;EUR;MWh;NO;NO;;;151.18;151.18;0;STABLE
2022-01-01T00:30;2022-01-01T00:45;3;EUR;MWh;NO;NO;;84.7;84.7;84.7;-1;DOWN
2022-01-01T00:45;2022-01-01T01:00;4;EUR;MWh;NO;NO;;-75.3;-75.3;-75.3;-1;DOWN
2022-01-01T01:00;2022-01-01T01:15;5;EUR;MWh;NO;NO;;112.66;112.66;112.66;-1;DOWN
2022-01-01T01:15;2022-01-01T01:30;6;EUR;MWh;NO;NO;;;151.18;151.18;0;STABLE
2022-01-01T01:30;2022-01-01T01:45;7;EUR;MWh;NO;NO;;;151.18;151.18;0;STABLE
2022-01-01T01:45;2022-01-01T02:00;8;EUR;MWh;NO;NO;;129.7;129.7;129.7;-1;DOWN
2022-01-01T02:00;2022-01-01T02:15;9;EUR;MWh;NO;NO;174.76;129.7;174.76;174.76;1;UP
2022-01-01T02:15;2022-01-01T02:30;10;EUR;MWh;NO;NO;180.76;;180.76;180.76;1;UP
2022-01-01T02:30;2022-01-01T02:45;11;EUR;MWh;NO;NO;166.59;122.66;166.59;122.66;2;UP_AND_DOWN
2022-01-01T02:45;2022-01-01T03:00;12;EUR;MWh;NO;NO;;-66;-66;-66;-1;DOWN
2022-01-01T03:00;2022-01-01T03:15;13;EUR;MWh;NO;NO;;-141.2;-141.2;-141.2;-1;DOWN
2022-01-01T03:15;2022-01-01T03:30;14;EUR;MWh;NO;NO;;129.42;129.42;129.42;-1;DOWN
2022-01-01T03:30;2022-01-01T03:45;15;EUR;MWh;NO;NO;;109.42;109.42;109.42;-1;DOWN
2022-01-01T03:45;2022-01-01T04:00;16;EUR;MWh;NO;NO;;-59.61;-59.61;-59.61;-1;DOWN
2022-01-01T04:00;2022-01-01T04:15;17;EUR;MWh;NO;NO;;-8.83;-8.83;-8.83;-1;DOWN
2022-01-01T04:15;2022-01-01T04:30;18;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T04:30;2022-01-01T04:45;19;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T04:45;2022-01-01T05:00;20;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T05:00;2022-01-01T05:15;21;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T05:15;2022-01-01T05:30;22;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T05:30;2022-01-01T05:45;23;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T05:45;2022-01-01T06:00;24;EUR;MWh;NO;NO;;-8.86;-8.86;-8.86;-1;DOWN
2022-01-01T06:00;2022-01-01T06:15;25;EUR;MWh;NO;NO;;-159.41;-159.41;-159.41;-1;DOWN
2022-01-01T06:15;2022-01-01T06:30;26;EUR;MWh;NO;NO;;-129.41;-129.41;-129.41;-1;DOWN
2022-01-01T06:30;2022-01-01T06:45;27;EUR;MWh;NO;NO;;-8.86;-8.86;-8.86;-1;DOWN
2022-01-01T06:45;2022-01-01T07:00;28;EUR;MWh;NO;NO;;70.59;70.59;70.59;-1;DOWN
2022-01-01T07:00;2022-01-01T07:15;29;EUR;MWh;NO;NO;;90.75;90.75;90.75;-1;DOWN
2022-01-01T07:15;2022-01-01T07:30;30;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T07:30;2022-01-01T07:45;31;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T07:45;2022-01-01T08:00;32;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T08:00;2022-01-01T08:15;33;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T08:15;2022-01-01T08:30;34;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T08:30;2022-01-01T08:45;35;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T08:45;2022-01-01T09:00;36;EUR;MWh;NO;NO;;64.66;64.66;64.66;-1;DOWN
2022-01-01T09:00;2022-01-01T09:15;37;EUR;MWh;NO;NO;;85.05;85.05;85.05;-1;DOWN
2022-01-01T09:15;2022-01-01T09:30;38;EUR;MWh;NO;NO;149.42;115.63;149.42;115.63;2;UP_AND_DOWN
2022-01-01T09:30;2022-01-01T09:45;39;EUR;MWh;NO;NO;;-30.44;-30.44;-30.44;-1;DOWN
2022-01-01T09:45;2022-01-01T10:00;40;EUR;MWh;NO;NO;;-41.11;-41.11;-41.11;-1;DOWN
2022-01-01T10:00;2022-01-01T10:15;41;EUR;MWh;NO;NO;;-17.74;-17.74;-17.74;-1;DOWN
2022-01-01T10:15;2022-01-01T10:30;42;EUR;MWh;NO;NO;;-31.71;-31.71;-31.71;-1;DOWN
2022-01-01T10:30;2022-01-01T10:45;43;EUR;MWh;NO;NO;;-87.22;-87.22;-87.22;-1;DOWN
2022-01-01T10:45;2022-01-01T11:00;44;EUR;MWh;NO;NO;;-31.07;-31.07;-31.07;-1;DOWN
2022-01-01T11:00;2022-01-01T11:15;45;EUR;MWh;NO;NO;;-17.66;-17.66;-17.66;-1;DOWN
2022-01-01T11:15;2022-01-01T11:30;46;EUR;MWh;NO;NO;;-31.07;-31.07;-31.07;-1;DOWN
2022-01-01T11:30;2022-01-01T11:45;47;EUR;MWh;NO;NO;;-43.71;-43.71;-43.71;-1;DOWN
2022-01-01T11:45;2022-01-01T12:00;48;EUR;MWh;NO;NO;189.42;99.1;189.42;189.42;1;UP
2022-01-01T12:00;2022-01-01T12:15;49;EUR;MWh;NO;NO;189.42;84.74;84.74;84.74;-1;DOWN
2022-01-01T12:15;2022-01-01T12:30;50;EUR;MWh;NO;NO;;69.74;69.74;69.74;-1;DOWN
2022-01-01T12:30;2022-01-01T12:45;51;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T12:45;2022-01-01T13:00;52;EUR;MWh;NO;NO;;-8.86;-8.86;-8.86;-1;DOWN
2022-01-01T13:00;2022-01-01T13:15;53;EUR;MWh;NO;NO;;-10.35;-10.35;-10.35;-1;DOWN
2022-01-01T13:15;2022-01-01T13:30;54;EUR;MWh;NO;NO;;121.8;121.8;121.8;-1;DOWN
2022-01-01T13:30;2022-01-01T13:45;55;EUR;MWh;NO;NO;;121.8;121.8;121.8;-1;DOWN
2022-01-01T13:45;2022-01-01T14:00;56;EUR;MWh;NO;NO;;121.8;121.8;121.8;-1;DOWN
2022-01-01T14:00;2022-01-01T14:15;57;EUR;MWh;NO;NO;;112.17;112.17;112.17;-1;DOWN
2022-01-01T14:15;2022-01-01T14:30;58;EUR;MWh;NO;NO;;127.17;127.17;127.17;-1;DOWN
2022-01-01T14:30;2022-01-01T14:45;59;EUR;MWh;NO;NO;;;139.42;139.42;0;STABLE
2022-01-01T14:45;2022-01-01T15:00;60;EUR;MWh;NO;NO;;112.17;112.17;112.17;-1;DOWN
2022-01-01T15:00;2022-01-01T15:15;61;EUR;MWh;NO;NO;;-98.73;-98.73;-98.73;-1;DOWN
2022-01-01T15:15;2022-01-01T15:30;62;EUR;MWh;NO;NO;;76.27;76.27;76.27;-1;DOWN
2022-01-01T15:30;2022-01-01T15:45;63;EUR;MWh;NO;NO;;89.42;89.42;89.42;-1;DOWN
2022-01-01T15:45;2022-01-01T16:00;64;EUR;MWh;NO;NO;;91.27;91.27;91.27;-1;DOWN
2022-01-01T16:00;2022-01-01T16:15;65;EUR;MWh;NO;NO;;-43.4;-43.4;-43.4;-1;DOWN
2022-01-01T16:15;2022-01-01T16:30;66;EUR;MWh;NO;NO;;-3.75;-3.75;-3.75;-1;DOWN
2022-01-01T16:30;2022-01-01T16:45;67;EUR;MWh;NO;NO;;;152.16;152.16;0;STABLE
2022-01-01T16:45;2022-01-01T17:00;68;EUR;MWh;NO;NO;173.53;151.6;173.53;151.6;2;UP_AND_DOWN
2022-01-01T17:00;2022-01-01T17:15;69;EUR;MWh;NO;NO;;-51.9;-51.9;-51.9;-1;DOWN
2022-01-01T17:15;2022-01-01T17:30;70;EUR;MWh;NO;NO;;-20.03;-20.03;-20.03;-1;DOWN
2022-01-01T17:30;2022-01-01T17:45;71;EUR;MWh;NO;NO;;-20.03;-20.03;-20.03;-1;DOWN
2022-01-01T17:45;2022-01-01T18:00;72;EUR;MWh;NO;NO;;-20.03;-20.03;-20.03;-1;DOWN
2022-01-01T18:00;2022-01-01T18:15;73;EUR;MWh;NO;NO;;-23.67;-23.67;-23.67;-1;DOWN
2022-01-01T18:15;2022-01-01T18:30;74;EUR;MWh;NO;NO;;112.66;112.66;112.66;-1;DOWN
2022-01-01T18:30;2022-01-01T18:45;75;EUR;MWh;NO;NO;;-23.67;-23.67;-23.67;-1;DOWN
2022-01-01T18:45;2022-01-01T19:00;76;EUR;MWh;NO;NO;;87.13;87.13;87.13;-1;DOWN
2022-01-01T19:00;2022-01-01T19:15;77;EUR;MWh;NO;NO;;-29.72;-29.72;-29.72;-1;DOWN
2022-01-01T19:15;2022-01-01T19:30;78;EUR;MWh;NO;NO;;-29.72;-29.72;-29.72;-1;DOWN
2022-01-01T19:30;2022-01-01T19:45;79;EUR;MWh;NO;NO;;-29.72;-29.72;-29.72;-1;DOWN
2022-01-01T19:45;2022-01-01T20:00;80;EUR;MWh;NO;NO;;-11.75;-11.75;-11.75;-1;DOWN
2022-01-01T20:00;2022-01-01T20:15;81;EUR;MWh;NO;NO;;146.88;146.88;146.88;-1;DOWN
2022-01-01T20:15;2022-01-01T20:30;82;EUR;MWh;NO;NO;;111.88;111.88;111.88;-1;DOWN
2022-01-01T20:30;2022-01-01T20:45;83;EUR;MWh;NO;NO;;-48.12;-48.12;-48.12;-1;DOWN
2022-01-01T20:45;2022-01-01T21:00;84;EUR;MWh;NO;NO;;-22.17;-22.17;-22.17;-1;DOWN
2022-01-01T21:00;2022-01-01T21:15;85;EUR;MWh;NO;NO;;-67.39;-67.39;-67.39;-1;DOWN
2022-01-01T21:15;2022-01-01T21:30;86;EUR;MWh;NO;NO;;117.61;117.61;117.61;-1;DOWN
2022-01-01T21:30;2022-01-01T21:45;87;EUR;MWh;NO;NO;;-22.17;-22.17;-22.17;-1;DOWN
2022-01-01T21:45;2022-01-01T22:00;88;EUR;MWh;NO;NO;149.42;-8.85;149.42;-8.85;2;UP_AND_DOWN
2022-01-01T22:00;2022-01-01T22:15;89;EUR;MWh;NO;NO;189.42;-8.85;189.42;189.42;1;UP
2022-01-01T22:15;2022-01-01T22:30;90;EUR;MWh;NO;NO;159.42;;159.42;159.42;1;UP
2022-01-01T22:30;2022-01-01T22:45;91;EUR;MWh;NO;NO;179.42;;179.42;179.42;1;UP
2022-01-01T22:45;2022-01-01T23:00;92;EUR;MWh;NO;NO;179.42;122.46;122.46;122.46;-1;DOWN
2022-01-01T23:00;2022-01-01T23:15;93;EUR;MWh;NO;NO;170.53;124.42;170.53;124.42;2;UP_AND_DOWN
2022-01-01T23:15;2022-01-01T23:30;94;EUR;MWh;NO;NO;159.42;;159.42;159.42;1;UP
