date,price
2025-01-02,71.0
2025-01-03,71.43000030517578
2025-01-04,71.43000030517578
2025-01-05,71.43000030517578
2025-01-06,70.2699966430664
2025-01-07,68.41000366210938
2025-01-08,68.41000366210938
2025-01-09,69.55999755859375
2025-01-10,70.73999786376953
2025-01-11,70.73999786376953
2025-01-12,70.73999786376953
2025-01-13,72.54000091552734
2025-01-14,72.94000244140625
2025-01-15,73.88999938964844
2025-01-16,74.05000305175781
2025-01-17,75.19000244140625
2025-01-18,75.19000244140625
2025-01-19,75.19000244140625
2025-01-20,75.55999755859375
2025-01-21,75.08000183105469
2025-01-22,74.55000305175781
2025-01-23,76.19000244140625
2025-01-24,77.02999877929688
2025-01-25,77.02999877929688
2025-01-26,77.02999877929688
2025-01-27,75.0199966430664
2025-01-28,76.0199966430664
2025-01-29,78.11000061035156
2025-01-30,78.62999725341797
2025-01-31,79.13999938964844
2025-02-01,79.13999938964844
2025-02-02,79.13999938964844
2025-02-03,76.61000061035156
2025-02-04,76.13999938964844
2025-02-05,76.62000274658203
2025-02-06,77.38999938964844
2025-02-07,77.38999938964844
2025-02-08,77.38999938964844
2025-02-09,77.38999938964844
2025-02-10,78.76000213623047
2025-02-11,78.31999969482422
2025-02-12,78.31999969482422
2025-02-13,73.8499984741211
2025-02-14,73.8499984741211
2025-02-15,73.8499984741211
2025-02-16,73.8499984741211
2025-02-17,73.8499984741211
2025-02-18,71.5
2025-02-19,70.2699966430664
2025-02-20,68.97000122070312
2025-02-21,70.94000244140625
2025-02-22,70.94000244140625
2025-02-23,70.94000244140625
2025-02-24,70.94000244140625
2025-02-25,67.69000244140625
2025-02-26,67.33000183105469
2025-02-27,67.33000183105469
2025-02-28,67.62999725341797
2025-03-01,67.62999725341797
2025-03-02,67.62999725341797
2025-03-03,68.11000061035156
2025-03-04,64.83000183105469
2025-03-05,65.5199966430664
2025-03-06,65.5199966430664
2025-03-07,64.97000122070312
2025-03-08,64.97000122070312
2025-03-09,64.97000122070312
2025-03-10,66.05000305175781
2025-03-11,64.73999786376953
2025-03-12,65.91999816894531
2025-03-13,65.91999816894531
2025-03-14,67.30000305175781
2025-03-15,67.30000305175781
2025-03-16,67.30000305175781
2025-03-17,67.30000305175781
2025-03-18,67.63999938964844
2025-03-19,70.0999984741211
2025-03-20,70.0999984741211
2025-03-21,70.0999984741211
2025-03-22,70.0999984741211
2025-03-23,70.0999984741211
2025-03-24,70.0999984741211
2025-03-25,70.0999984741211
2025-03-26,70.0999984741211
2025-03-27,65.62999725341797
2025-03-28,65.19999694824219
2025-03-29,65.19999694824219
2025-03-30,65.19999694824219
2025-03-31,64.7300033569336
2025-04-01,64.7300033569336
2025-04-02,64.7300033569336
2025-04-03,64.7300033569336
2025-04-04,60.83000183105469
2025-04-05,60.83000183105469
2025-04-06,60.83000183105469
2025-04-07,59.529998779296875
2025-04-08,58.7400016784668
2025-04-09,58.7400016784668
2025-04-10,59.27000045776367
2025-04-11,62.099998474121094
2025-04-12,62.099998474121094
2025-04-13,62.099998474121094
2025-04-14,62.099998474121094
2025-04-15,62.099998474121094
2025-04-16,62.099998474121094
2025-04-17,62.099998474121094
2025-04-18,62.099998474121094
2025-04-19,62.099998474121094
2025-04-20,62.099998474121094
2025-04-21,62.099998474121094
2025-04-22,62.099998474121094
2025-04-23,62.099998474121094
2025-04-24,62.099998474121094
2025-04-25,62.099998474121094
2025-04-26,62.099998474121094
2025-04-27,62.099998474121094
2025-04-28,62.099998474121094
2025-04-29,62.099998474121094
2025-04-30,63.349998474121094
2025-05-01,63.349998474121094
2025-05-02,63.349998474121094
2025-05-03,63.349998474121094
2025-05-04,63.349998474121094
2025-05-05,63.349998474121094
2025-05-06,66.02999877929688
2025-05-07,66.02999877929688
2025-05-08,66.02999877929688
2025-05-09,66.02999877929688
2025-05-10,66.02999877929688
2025-05-11,66.02999877929688
2025-05-12,69.80999755859375
2025-05-13,69.30999755859375
2025-05-14,68.80999755859375
2025-05-15,69.8499984741211
2025-05-16,67.91999816894531
2025-05-17,67.91999816894531
2025-05-18,67.91999816894531
2025-05-19,67.91999816894531
2025-05-20,69.9800033569336
2025-05-21,69.9800033569336
2025-05-22,69.9800033569336
2025-05-23,68.36000061035156
2025-05-24,68.36000061035156
2025-05-25,68.36000061035156
2025-05-26,69.68000030517578
2025-05-27,69.68000030517578
2025-05-28,68.7300033569336
2025-05-29,67.80000305175781
2025-05-30,67.80000305175781
2025-05-31,67.80000305175781
2025-06-01,67.80000305175781
2025-06-02,67.80000305175781
2025-06-03,67.80000305175781
2025-06-04,67.80000305175781
2025-06-05,69.16999816894531
2025-06-06,69.16999816894531
2025-06-07,69.16999816894531
2025-06-08,69.16999816894531
2025-06-09,70.83999633789062
2025-06-10,70.83999633789062
2025-06-11,71.06999969482422
2025-06-12,72.30999755859375
2025-06-13,72.33999633789062
2025-06-14,72.33999633789062
2025-06-15,72.33999633789062
2025-06-16,71.9000015258789
2025-06-17,71.29000091552734
2025-06-18,71.36000061035156
2025-06-19,69.69000244140625
2025-06-20,69.69000244140625
2025-06-21,69.69000244140625
2025-06-22,69.69000244140625
2025-06-23,69.69000244140625
2025-06-24,69.69000244140625
2025-06-25,68.20999908447266
2025-06-26,67.45999908447266
2025-06-27,67.45999908447266
2025-06-28,67.45999908447266
2025-06-29,67.45999908447266
2025-06-30,67.45999908447266
2025-07-01,67.45999908447266
2025-07-02,67.45999908447266
2025-07-03,67.45999908447266
2025-07-04,67.45999908447266
2025-07-05,67.45999908447266
2025-07-06,67.45999908447266
2025-07-07,68.19999694824219
2025-07-08,68.19999694824219
2025-07-09,68.19999694824219
2025-07-10,68.19999694824219
2025-07-11,68.19999694824219
2025-07-12,68.19999694824219
2025-07-13,68.19999694824219
2025-07-14,68.19999694824219
2025-07-15,68.19999694824219
2025-07-16,68.23999786376953
2025-07-17,68.23999786376953
2025-07-18,67.25
2025-07-19,67.25
2025-07-20,67.25
2025-07-21,66.98999786376953
2025-07-22,66.4000015258789
2025-07-23,66.5999984741211
2025-07-24,66.5999984741211
2025-07-25,66.5999984741211
2025-07-26,66.5999984741211
2025-07-27,66.5999984741211
2025-07-28,66.5999984741211
2025-07-29,66.5999984741211
2025-07-30,69.7699966430664
2025-07-31,69.48999786376953
2025-08-01,69.48999786376953
2025-08-02,69.48999786376953
2025-08-03,69.48999786376953
2025-08-04,67.80000305175781
2025-08-05,67.80000305175781
2025-08-06,67.80000305175781
2025-08-07,67.80000305175781
2025-08-08,70.0
2025-08-09,70.0
2025-08-10,70.0
2025-08-11,70.0
2025-08-12,70.0
2025-08-13,68.91999816894531
2025-08-14,68.05000305175781
2025-08-15,68.05000305175781
2025-08-16,68.05000305175781
2025-08-17,68.05000305175781
2025-08-18,68.05000305175781
2025-08-19,68.20999908447266
2025-08-20,68.37000274658203
2025-08-21,69.38999938964844
2025-08-22,69.5199966430664
2025-08-23,69.5199966430664
2025-08-24,69.5199966430664
2025-08-25,69.5199966430664
2025-08-26,69.5199966430664
2025-08-27,69.30999755859375
2025-08-28,69.30999755859375
2025-08-29,70.04000091552734
2025-08-30,70.04000091552734
2025-08-31,70.04000091552734
2025-09-01,71.16000366210938
2025-09-02,70.9800033569336
2025-09-03,70.9800033569336
2025-09-04,72.30999755859375
2025-09-05,72.95999908447266
2025-09-06,72.95999908447266
2025-09-07,72.95999908447266
2025-09-08,74.01000213623047
2025-09-09,74.01000213623047
2025-09-10,74.0
2025-09-11,72.55000305175781
2025-09-12,72.6500015258789
2025-09-13,72.6500015258789
2025-09-14,72.6500015258789
2025-09-15,73.81999969482422
2025-09-16,74.18000030517578
2025-09-17,73.76000213623047
2025-09-18,74.47000122070312
2025-09-19,74.56999969482422
2025-09-20,74.56999969482422
2025-09-21,74.56999969482422
2025-09-22,74.56999969482422
2025-09-23,74.56999969482422
2025-09-24,74.56999969482422
2025-09-25,72.81999969482422
2025-09-26,72.94999694824219
2025-09-27,72.94999694824219
2025-09-28,72.94999694824219
2025-09-29,72.94999694824219
2025-09-30,72.77999877929688
2025-10-01,72.77999877929688
2025-10-02,74.44999694824219
2025-10-03,76.27999877929688
2025-10-04,76.27999877929688
2025-10-05,76.27999877929688
2025-10-06,75.83999633789062
2025-10-07,75.83999633789062
2025-10-08,76.4000015258789
2025-10-09,76.4000015258789
2025-10-10,76.33000183105469
2025-10-11,76.33000183105469
2025-10-12,76.33000183105469
2025-10-13,75.11000061035156
2025-10-14,75.11000061035156
2025-10-15,75.08999633789062
2025-10-16,76.44999694824219
2025-10-17,76.36000061035156
2025-10-18,76.36000061035156
2025-10-19,76.36000061035156
2025-10-20,76.66999816894531
2025-10-21,76.58999633789062
2025-10-22,75.5199966430664
2025-10-23,75.45999908447266
2025-10-24,75.45999908447266
2025-10-25,75.45999908447266
2025-10-26,75.45999908447266
2025-10-27,74.88999938964844
2025-10-28,75.38999938964844
2025-10-29,75.38999938964844
2025-10-30,75.38999938964844
2025-10-31,75.55999755859375
2025-11-01,75.55999755859375
2025-11-02,75.55999755859375
2025-11-03,78.29000091552734
2025-11-04,79.13999938964844
2025-11-05,78.36000061035156
2025-11-06,77.2699966430664
2025-11-07,76.55999755859375
2025-11-08,76.55999755859375
2025-11-09,76.55999755859375
2025-11-10,76.93000030517578
2025-11-11,77.68000030517578
2025-11-12,78.86000061035156
2025-11-13,78.30999755859375
2025-11-14,77.97000122070312
2025-11-15,77.97000122070312
2025-11-16,77.97000122070312
2025-11-17,76.88999938964844
2025-11-18,78.20999908447266
2025-11-19,78.20999908447266
2025-11-20,78.20999908447266
2025-11-21,78.20999908447266
2025-11-22,78.20999908447266
2025-11-23,78.20999908447266
2025-11-24,77.5999984741211
2025-11-25,77.5999984741211
2025-11-26,77.5999984741211
2025-11-27,77.5999984741211
2025-11-28,80.0199966430664
2025-11-29,80.0199966430664
2025-11-30,80.0199966430664
2025-12-01,79.58999633789062
2025-12-02,79.58999633789062
2025-12-03,78.75
2025-12-04,78.75
2025-12-05,78.79000091552734
2025-12-06,78.79000091552734
2025-12-07,78.79000091552734
2025-12-08,78.79000091552734
2025-12-09,79.7699966430664
2025-12-10,78.91000366210938
2025-12-11,81.1500015258789
2025-12-12,80.37999725341797
2025-12-13,80.37999725341797
2025-12-14,80.37999725341797
2025-12-15,81.88999938964844
2025-12-16,82.04000091552734
2025-12-17,81.61000061035156
2025-12-18,80.94999694824219
2025-12-19,81.61000061035156
2025-12-20,81.61000061035156
2025-12-21,81.61000061035156
2025-12-22,81.61000061035156
2025-12-23,83.08999633789062
2025-12-24,83.08999633789062
2025-12-25,83.08999633789062
2025-12-26,83.08999633789062
2025-12-27,83.08999633789062
2025-12-28,83.08999633789062
2025-12-29,82.3499984741211
2025-12-30,81.95999908447266
