"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|CH","Without Sequence","0.03","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|CH","Without Sequence","-7.25","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|CH","Without Sequence","-3.99","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|CH","Without Sequence","-7.71","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|CH","Without Sequence","-9.71","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|CH","Without Sequence","-15.15","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|CH","Without Sequence","-14.33","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|CH","Without Sequence","-0.66","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|CH","Without Sequence","0.02","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|CH","Without Sequence","-1.23","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|CH","Without Sequence","-6.11","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|CH","Without Sequence","0.28","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|CH","Without Sequence","2.96","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|CH","Without Sequence","-0.79","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|CH","Without Sequence","3.06","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|CH","Without Sequence","9.53","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|CH","Without Sequence","19.95","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|CH","Without Sequence","30.46","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|CH","Without Sequence","34.39","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|CH","Without Sequence","35.15","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|CH","Without Sequence","29.57","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|CH","Without Sequence","24.92","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|CH","Without Sequence","20.72","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|CH","Without Sequence","13.46","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|CH","Without Sequence","40.37","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|CH","Without Sequence","29.23","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|CH","Without Sequence","22.28","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|CH","Without Sequence","14.17","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|CH","Without Sequence","24.94","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|CH","Without Sequence","48.84","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|CH","Without Sequence","74.52","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|CH","Without Sequence","112.32","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|CH","Without Sequence","123.03","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|CH","Without Sequence","125.92","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|CH","Without Sequence","127.31","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|CH","Without Sequence","125.47","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|CH","Without Sequence","129.43","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|CH","Without Sequence","120.34","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|CH","Without Sequence","132.27","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|CH","Without Sequence","136.20","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|CH","Without Sequence","145.91","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|CH","Without Sequence","153.85","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|CH","Without Sequence","161.43","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|CH","Without Sequence","154.75","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|CH","Without Sequence","148.62","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|CH","Without Sequence","134.97","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|CH","Without Sequence","121.01","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|CH","Without Sequence","112.10","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|CH","Without Sequence","119.17","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|CH","Without Sequence","113.38","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|CH","Without Sequence","108.94","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|CH","Without Sequence","101.05","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|CH","Without Sequence","105.86","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|CH","Without Sequence","119.07","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|CH","Without Sequence","156.05","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|CH","Without Sequence","183.96","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|CH","Without Sequence","185.20","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|CH","Without Sequence","186.56","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|CH","Without Sequence","184.08","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|CH","Without Sequence","179.02","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|CH","Without Sequence","171.42","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|CH","Without Sequence","167.95","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|CH","Without Sequence","170.04","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|CH","Without Sequence","171.80","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|CH","Without Sequence","172.47","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|CH","Without Sequence","186.24","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|CH","Without Sequence","180.86","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|CH","Without Sequence","171.49","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|CH","Without Sequence","158.72","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|CH","Without Sequence","147.74","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|CH","Without Sequence","141.58","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|CH","Without Sequence","113.49","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|CH","Without Sequence","121.55","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|CH","Without Sequence","104.19","",""
