"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|CH","Without Sequence","50.98","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|CH","Without Sequence","45.94","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|CH","Without Sequence","44.53","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|CH","Without Sequence","41.01","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|CH","Without Sequence","39.23","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|CH","Without Sequence","38.43","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|CH","Without Sequence","39.57","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|CH","Without Sequence","40.78","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|CH","Without Sequence","42.72","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|CH","Without Sequence","44.32","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|CH","Without Sequence","46.14","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|CH","Without Sequence","46.35","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|CH","Without Sequence","48.90","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|CH","Without Sequence","48.52","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|CH","Without Sequence","48.05","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|CH","Without Sequence","49.02","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|CH","Without Sequence","53.73","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|CH","Without Sequence","57.72","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|CH","Without Sequence","58.30","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|CH","Without Sequence","58.12","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|CH","Without Sequence","56.46","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|CH","Without Sequence","53.89","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|CH","Without Sequence","52.02","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|CH","Without Sequence","48.72","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|CH","Without Sequence","53.24","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|CH","Without Sequence","49.66","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|CH","Without Sequence","46.04","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|CH","Without Sequence","43.49","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|CH","Without Sequence","42.04","",""
