"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|CH","Without Sequence","41.09","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|CH","Without Sequence","40.16","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|CH","Without Sequence","36.03","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|CH","Without Sequence","33.59","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|CH","Without Sequence","32.92","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|CH","Without Sequence","32.80","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|CH","Without Sequence","32.93","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|CH","Without Sequence","25.43","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|CH","Without Sequence","30.01","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|CH","Without Sequence","32.34","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|CH","Without Sequence","34.07","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|CH","Without Sequence","34.56","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|CH","Without Sequence","35.49","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|CH","Without Sequence","33.29","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|CH","Without Sequence","35.66","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|CH","Without Sequence","39.83","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|CH","Without Sequence","41.07","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|CH","Without Sequence","52.28","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|CH","Without Sequence","51.92","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|CH","Without Sequence","49.44","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|CH","Without Sequence","48.20","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|CH","Without Sequence","44.93","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|CH","Without Sequence","43.77","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|CH","Without Sequence","40.84","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|CH","Without Sequence","39.73","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|CH","Without Sequence","36.87","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|CH","Without Sequence","33.53","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|CH","Without Sequence","31.40","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|CH","Without Sequence","24.94","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|CH","Without Sequence","29.04","",""
