"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|CH","Without Sequence","45.55","",""
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|CH","Without Sequence","55.03","",""
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|CH","Without Sequence","58.75","",""
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|CH","Without Sequence","58.25","",""
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|CH","Without Sequence","57.94","",""
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|CH","Without Sequence","56.81","",""
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|CH","Without Sequence","53.27","",""
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|CH","Without Sequence","52.93","",""
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|CH","Without Sequence","54.47","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|CH","Without Sequence","56.20","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|CH","Without Sequence","57.50","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|CH","Without Sequence","58.06","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|CH","Without Sequence","58.06","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|CH","Without Sequence","58.05","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|CH","Without Sequence","52.94","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|CH","Without Sequence","48.36","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|CH","Without Sequence","45.51","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|CH","Without Sequence","41.03","",""
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|CH","Without Sequence","38.27","",""
"04/01/2018 01:00:00 - 04/01/2018 02:00:00","BZN|CH","Without Sequence","31.06","",""
"04/01/2018 02:00:00 - 04/01/2018 03:00:00","BZN|CH","Without Sequence","24.94","",""
"04/01/2018 03:00:00 - 04/01/2018 04:00:00","BZN|CH","Without Sequence","23.67","",""
"04/01/2018 04:00:00 - 04/01/2018 05:00:00","BZN|CH","Without Sequence","28.08","",""
"04/01/2018 05:00:00 - 04/01/2018 06:00:00","BZN|CH","Without Sequence","39.21","",""
"04/01/2018 06:00:00 - 04/01/2018 07:00:00","BZN|CH","Without Sequence","46.97","",""
"04/01/2018 07:00:00 - 04/01/2018 08:00:00","BZN|CH","Without Sequence","56.38","",""
"04/01/2018 08:00:00 - 04/01/2018 09:00:00","BZN|CH","Without Sequence","57.50","",""
"04/01/2018 09:00:00 - 04/01/2018 10:00:00","BZN|CH","Without Sequence","57.55","",""
"04/01/2018 10:00:00 - 04/01/2018 11:00:00","BZN|CH","Without Sequence","56.69","",""
"04/01/2018 11:00:00 - 04/01/2018 12:00:00","BZN|CH","Without Sequence","54.92","",""
"04/01/2018 12:00:00 - 04/01/2018 13:00:00","BZN|CH","Without Sequence","53.21","",""
"04/01/2018 13:00:00 - 04/01/2018 14:00:00","BZN|CH","Without Sequence","52.32","",""
"04/01/2018 14:00:00 - 04/01/2018 15:00:00","BZN|CH","Without Sequence","54.20","",""
"04/01/2018 15:00:00 - 04/01/2018 16:00:00","BZN|CH","Without Sequence","55.97","",""
