"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|CH","Without Sequence","57.04","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|CH","Without Sequence","51.94","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|CH","Without Sequence","49.07","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|CH","Without Sequence","45.01","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|CH","Without Sequence","42.40","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|CH","Without Sequence","42.43","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|CH","Without Sequence","43.04","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|CH","Without Sequence","41.08","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|CH","Without Sequence","44.07","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|CH","Without Sequence","43.52","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|CH","Without Sequence","44.96","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|CH","Without Sequence","44.22","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|CH","Without Sequence","46.09","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|CH","Without Sequence","44.09","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|CH","Without Sequence","41.33","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|CH","Without Sequence","41.64","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|CH","Without Sequence","47.65","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|CH","Without Sequence","53.94","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|CH","Without Sequence","58.52","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|CH","Without Sequence","59.01","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|CH","Without Sequence","55.60","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|CH","Without Sequence","53.60","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|CH","Without Sequence","54.01","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|CH","Without Sequence","53.07","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|CH","Without Sequence","51.85","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|CH","Without Sequence","50.04","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|CH","Without Sequence","48.34","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|CH","Without Sequence","46.89","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|CH","Without Sequence","45.51","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|CH","Without Sequence","46.79","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|CH","Without Sequence","51.29","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|CH","Without Sequence","60.97","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|CH","Without Sequence","61.25","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|CH","Without Sequence","61.04","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|CH","Without Sequence","61.22","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|CH","Without Sequence","61.02","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|CH","Without Sequence","61.25","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|CH","Without Sequence","61.22","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|CH","Without Sequence","60.92","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|CH","Without Sequence","59.97","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|CH","Without Sequence","60.91","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|CH","Without Sequence","66.36","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|CH","Without Sequence","64.53","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|CH","Without Sequence","61.66","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|CH","Without Sequence","61.25","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|CH","Without Sequence","61.24","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|CH","Without Sequence","61.22","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|CH","Without Sequence","60.11","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|CH","Without Sequence","60.61","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|CH","Without Sequence","56.06","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|CH","Without Sequence","53.21","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|CH","Without Sequence","52.96","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|CH","Without Sequence","52.02","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|CH","Without Sequence","53.33","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|CH","Without Sequence","62.94","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|CH","Without Sequence","69.05","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|CH","Without Sequence","72.97","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|CH","Without Sequence","74.37","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|CH","Without Sequence","75.19","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|CH","Without Sequence","74.22","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|CH","Without Sequence","70.17","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|CH","Without Sequence","70.16","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|CH","Without Sequence","70.20","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|CH","Without Sequence","72.27","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|CH","Without Sequence","75.08","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|CH","Without Sequence","84.44","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|CH","Without Sequence","85.92","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|CH","Without Sequence","82.66","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|CH","Without Sequence","77.07","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|CH","Without Sequence","70.71","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|CH","Without Sequence","69.31","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|CH","Without Sequence","66.08","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|CH","Without Sequence","55.60","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|CH","Without Sequence","53.59","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|CH","Without Sequence","52.67","",""
