"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|CH","Without Sequence","119.97","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|CH","Without Sequence","101.54","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|CH","Without Sequence","52.13","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|CH","Without Sequence","20.78","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|CH","Without Sequence","15.66","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|CH","Without Sequence","21.47","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|CH","Without Sequence","29.89","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|CH","Without Sequence","95.33","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|CH","Without Sequence","95.36","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|CH","Without Sequence","95.43","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|CH","Without Sequence","68.42","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|CH","Without Sequence","60.88","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|CH","Without Sequence","70.72","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|CH","Without Sequence","74.99","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|CH","Without Sequence","87.46","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|CH","Without Sequence","100.16","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|CH","Without Sequence","120.09","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|CH","Without Sequence","148.89","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|CH","Without Sequence","142.30","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|CH","Without Sequence","137.76","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|CH","Without Sequence","128.55","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|CH","Without Sequence","140.62","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|CH","Without Sequence","144.49","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|CH","Without Sequence","141.77","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|CH","Without Sequence","88.51","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|CH","Without Sequence","75.04","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|CH","Without Sequence","45.38","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|CH","Without Sequence","23.70","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|CH","Without Sequence","15.84","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|CH","Without Sequence","23.98","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|CH","Without Sequence","35.88","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|CH","Without Sequence","49.00","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|CH","Without Sequence","75.05","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|CH","Without Sequence","86.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|CH","Without Sequence","75.92","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|CH","Without Sequence","69.91","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|CH","Without Sequence","75.04","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|CH","Without Sequence","48.76","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|CH","Without Sequence","58.25","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|CH","Without Sequence","86.25","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|CH","Without Sequence","91.51","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|CH","Without Sequence","126.25","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|CH","Without Sequence","125.88","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|CH","Without Sequence","110.73","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|CH","Without Sequence","90.90","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|CH","Without Sequence","89.78","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|CH","Without Sequence","89.44","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|CH","Without Sequence","87.38","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|CH","Without Sequence","62.55","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|CH","Without Sequence","9.66","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|CH","Without Sequence","16.68","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|CH","Without Sequence","0.95","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|CH","Without Sequence","9.05","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|CH","Without Sequence","78.60","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|CH","Without Sequence","141.86","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|CH","Without Sequence","199.40","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|CH","Without Sequence","214.58","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|CH","Without Sequence","215.73","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|CH","Without Sequence","211.58","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|CH","Without Sequence","206.34","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|CH","Without Sequence","194.83","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|CH","Without Sequence","191.96","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|CH","Without Sequence","204.10","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|CH","Without Sequence","207.37","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|CH","Without Sequence","224.46","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|CH","Without Sequence","220.21","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|CH","Without Sequence","214.11","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|CH","Without Sequence","204.11","",""
