"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|NL","Without Sequence","42.00","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|NL","Without Sequence","49.94","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|NL","Without Sequence","51.95","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|NL","Without Sequence","40.99","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|NL","Without Sequence","39.00","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|NL","Without Sequence","35.89","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|NL","Without Sequence","34.99","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|NL","Without Sequence","29.02","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|NL","Without Sequence","28.64","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|NL","Without Sequence","34.94","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|NL","Without Sequence","39.94","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|NL","Without Sequence","42.44","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|NL","Without Sequence","49.57","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|NL","Without Sequence","48.69","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|NL","Without Sequence","37.44","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|NL","Without Sequence","37.30","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|NL","Without Sequence","44.12","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|NL","Without Sequence","51.59","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|NL","Without Sequence","59.07","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|NL","Without Sequence","55.00","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|NL","Without Sequence","52.00","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|NL","Without Sequence","52.00","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|NL","Without Sequence","52.44","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|NL","Without Sequence","49.27","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|NL","Without Sequence","30.54","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|NL","Without Sequence","30.00","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|NL","Without Sequence","33.21","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|NL","Without Sequence","32.05","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|NL","Without Sequence","31.28","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|NL","Without Sequence","31.43","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|NL","Without Sequence","37.99","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|NL","Without Sequence","45.20","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|NL","Without Sequence","46.31","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|NL","Without Sequence","48.84","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|NL","Without Sequence","53.32","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|NL","Without Sequence","54.53","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|NL","Without Sequence","53.82","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|NL","Without Sequence","55.67","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|NL","Without Sequence","55.98","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|NL","Without Sequence","56.00","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|NL","Without Sequence","57.77","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|NL","Without Sequence","67.66","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|NL","Without Sequence","55.10","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|NL","Without Sequence","47.94","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|NL","Without Sequence","40.99","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|NL","Without Sequence","40.25","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|NL","Without Sequence","40.99","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|NL","Without Sequence","36.84","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|NL","Without Sequence","36.02","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|NL","Without Sequence","34.98","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|NL","Without Sequence","33.64","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|NL","Without Sequence","33.62","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|NL","Without Sequence","33.50","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|NL","Without Sequence","33.91","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|NL","Without Sequence","40.90","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|NL","Without Sequence","43.72","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|NL","Without Sequence","54.12","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|NL","Without Sequence","54.94","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|NL","Without Sequence","52.27","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|NL","Without Sequence","49.94","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|NL","Without Sequence","46.30","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|NL","Without Sequence","41.51","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|NL","Without Sequence","40.90","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|NL","Without Sequence","40.90","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|NL","Without Sequence","40.90","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|NL","Without Sequence","45.00","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|NL","Without Sequence","36.67","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|NL","Without Sequence","40.00","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|NL","Without Sequence","40.90","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|NL","Without Sequence","40.90","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|NL","Without Sequence","37.30","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|NL","Without Sequence","32.22","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|NL","Without Sequence","28.90","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|NL","Without Sequence","28.88","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|NL","Without Sequence","28.68","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|NL","Without Sequence","28.67","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|NL","Without Sequence","28.52","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|NL","Without Sequence","28.79","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|NL","Without Sequence","31.33","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|NL","Without Sequence","32.60","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|NL","Without Sequence","42.00","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|NL","Without Sequence","44.00","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|NL","Without Sequence","44.00","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|NL","Without Sequence","44.00","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|NL","Without Sequence","39.94","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|NL","Without Sequence","39.90","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|NL","Without Sequence","38.09","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|NL","Without Sequence","39.94","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|NL","Without Sequence","44.94","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|NL","Without Sequence","66.01","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|NL","Without Sequence","49.45","",""
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|NL","Without Sequence","48.37","",""
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|NL","Without Sequence","38.02","",""
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|NL","Without Sequence","34.55","",""
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|NL","Without Sequence","33.33","",""
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|NL","Without Sequence","32.05","",""
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|NL","Without Sequence","42.70","",""
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|NL","Without Sequence","36.32","",""
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|NL","Without Sequence","30.99","",""
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|NL","Without Sequence","31.06","",""
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|NL","Without Sequence","35.64","",""
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|NL","Without Sequence","35.73","",""
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|NL","Without Sequence","39.03","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|NL","Without Sequence","41.27","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|NL","Without Sequence","57.98","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|NL","Without Sequence","54.11","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|NL","Without Sequence","53.13","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|NL","Without Sequence","50.06","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|NL","Without Sequence","49.97","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|NL","Without Sequence","49.00","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|NL","Without Sequence","50.99","",""
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|NL","Without Sequence","57.48","",""
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|NL","Without Sequence","69.70","",""
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|NL","Without Sequence","74.80","",""
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|NL","Without Sequence","126.60","",""
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|NL","Without Sequence","65.15","",""
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|NL","Without Sequence","64.24","",""
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|NL","Without Sequence","43.09","",""
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|NL","Without Sequence","43.12","",""
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|NL","Without Sequence","37.08","",""
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|NL","Without Sequence","40.84","",""
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|NL","Without Sequence","37.23","",""
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|NL","Without Sequence","37.44","",""
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|NL","Without Sequence","38.00","",""
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|NL","Without Sequence","36.06","",""
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|NL","Without Sequence","38.87","",""
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|NL","Without Sequence","39.46","",""
