"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|NL","Without Sequence","23.86","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|NL","Without Sequence","22.39","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|NL","Without Sequence","20.59","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|NL","Without Sequence","16.81","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|NL","Without Sequence","17.41","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|NL","Without Sequence","17.02","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|NL","Without Sequence","15.86","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|NL","Without Sequence","18.16","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|NL","Without Sequence","17.73","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|NL","Without Sequence","19.77","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|NL","Without Sequence","23.75","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|NL","Without Sequence","26.03","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|NL","Without Sequence","27.06","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|NL","Without Sequence","26.59","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|NL","Without Sequence","25.00","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|NL","Without Sequence","27.04","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|NL","Without Sequence","34.46","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|NL","Without Sequence","45.14","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|NL","Without Sequence","40.00","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|NL","Without Sequence","35.34","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|NL","Without Sequence","33.07","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|NL","Without Sequence","29.52","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|NL","Without Sequence","30.10","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|NL","Without Sequence","24.57","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|NL","Without Sequence","22.20","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|NL","Without Sequence","16.57","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|NL","Without Sequence","15.35","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|NL","Without Sequence","12.77","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|NL","Without Sequence","11.27","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|NL","Without Sequence","11.91","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|NL","Without Sequence","12.62","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|NL","Without Sequence","15.27","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|NL","Without Sequence","22.34","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|NL","Without Sequence","27.44","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|NL","Without Sequence","37.00","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|NL","Without Sequence","38.00","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|NL","Without Sequence","46.68","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|NL","Without Sequence","42.44","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|NL","Without Sequence","34.94","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|NL","Without Sequence","29.00","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|NL","Without Sequence","32.00","",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|NL","Without Sequence","45.00","",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|NL","Without Sequence","44.65","",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|NL","Without Sequence","39.00","",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|NL","Without Sequence","35.00","",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|NL","Without Sequence","27.54","",""
"02/01/2016 22:00:00 - 02/01/2016 23:00:00","BZN|NL","Without Sequence","32.18","",""
"02/01/2016 23:00:00 - 03/01/2016 00:00:00","BZN|NL","Without Sequence","30.12","",""
"03/01/2016 00:00:00 - 03/01/2016 01:00:00","BZN|NL","Without Sequence","21.39","",""
"03/01/2016 01:00:00 - 03/01/2016 02:00:00","BZN|NL","Without Sequence","18.91","",""
"03/01/2016 02:00:00 - 03/01/2016 03:00:00","BZN|NL","Without Sequence","19.07","",""
"03/01/2016 03:00:00 - 03/01/2016 04:00:00","BZN|NL","Without Sequence","16.10","",""
"03/01/2016 04:00:00 - 03/01/2016 05:00:00","BZN|NL","Without Sequence","13.97","",""
"03/01/2016 05:00:00 - 03/01/2016 06:00:00","BZN|NL","Without Sequence","15.37","",""
