"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|NL","Without Sequence","35.97","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|NL","Without Sequence","90.34","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|NL","Without Sequence","120.00","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|NL","Without Sequence","129.90","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|NL","Without Sequence","119.04","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|NL","Without Sequence","119.19","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|NL","Without Sequence","120.00","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|NL","Without Sequence","122.62","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|NL","Without Sequence","138.18","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|NL","Without Sequence","143.10","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|NL","Without Sequence","136.00","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|NL","Without Sequence","148.49","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|NL","Without Sequence","214.00","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|NL","Without Sequence","192.00","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|NL","Without Sequence","149.80","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|NL","Without Sequence","144.22","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|NL","Without Sequence","130.00","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|NL","Without Sequence","110.00","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|NL","Without Sequence","194.90","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|NL","Without Sequence","137.25","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|NL","Without Sequence","137.20","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|NL","Without Sequence","119.31","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|NL","Without Sequence","117.13","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|NL","Without Sequence","119.90","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|NL","Without Sequence","156.91","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|NL","Without Sequence","182.64","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|NL","Without Sequence","178.91","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|NL","Without Sequence","190.00","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|NL","Without Sequence","189.88","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|NL","Without Sequence","182.42","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|NL","Without Sequence","182.46","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|NL","Without Sequence","179.59","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|NL","Without Sequence","179.00","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|NL","Without Sequence","180.93","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|NL","Without Sequence","166.69","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|NL","Without Sequence","189.88","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|NL","Without Sequence","184.94","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|NL","Without Sequence","178.99","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|NL","Without Sequence","156.12","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|NL","Without Sequence","154.99","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|NL","Without Sequence","137.92","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|NL","Without Sequence","106.00","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|NL","Without Sequence","128.88","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|NL","Without Sequence","113.88","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|NL","Without Sequence","84.50","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|NL","Without Sequence","75.38","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|NL","Without Sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|NL","Without Sequence","94.79","",""
