"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NL","Without Sequence","0.10","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|NL","Without Sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|NL","Without Sequence","0.00","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|NL","Without Sequence","-0.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|NL","Without Sequence","-0.03","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|NL","Without Sequence","-0.02","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|NL","Without Sequence","-0.05","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|NL","Without Sequence","-0.02","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|NL","Without Sequence","0.00","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|NL","Without Sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|NL","Without Sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|NL","Without Sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|NL","Without Sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|NL","Without Sequence","1.97","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|NL","Without Sequence","1.13","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|NL","Without Sequence","3.19","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|NL","Without Sequence","40.00","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|NL","Without Sequence","84.46","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|NL","Without Sequence","61.74","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|NL","Without Sequence","61.27","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|NL","Without Sequence","59.97","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|NL","Without Sequence","54.92","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|NL","Without Sequence","47.65","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|NL","Without Sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|NL","Without Sequence","29.39","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|NL","Without Sequence","19.60","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|NL","Without Sequence","27.33","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|NL","Without Sequence","16.20","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|NL","Without Sequence","9.50","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|NL","Without Sequence","11.20","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|NL","Without Sequence","44.43","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|NL","Without Sequence","56.56","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|NL","Without Sequence","64.28","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|NL","Without Sequence","66.12","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|NL","Without Sequence","70.60","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|NL","Without Sequence","78.80","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|NL","Without Sequence","99.90","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|NL","Without Sequence","102.50","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|NL","Without Sequence","110.60","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|NL","Without Sequence","105.70","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|NL","Without Sequence","100.70","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|NL","Without Sequence","118.93","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|NL","Without Sequence","81.30","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|NL","Without Sequence","70.10","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|NL","Without Sequence","66.70","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|NL","Without Sequence","54.90","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|NL","Without Sequence","53.18","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|NL","Without Sequence","54.90","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|NL","Without Sequence","-0.39","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|NL","Without Sequence","-1.61","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|NL","Without Sequence","-1.39","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|NL","Without Sequence","-1.31","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|NL","Without Sequence","-1.39","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|NL","Without Sequence","-1.95","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|NL","Without Sequence","1.05","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|NL","Without Sequence","40.63","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|NL","Without Sequence","68.30","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|NL","Without Sequence","75.90","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|NL","Without Sequence","73.20","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|NL","Without Sequence","69.20","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|NL","Without Sequence","60.00","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|NL","Without Sequence","58.86","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|NL","Without Sequence","60.86","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|NL","Without Sequence","76.00","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|NL","Without Sequence","79.00","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|NL","Without Sequence","101.00","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|NL","Without Sequence","114.60","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|NL","Without Sequence","100.00","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|NL","Without Sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|NL","Without Sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|NL","Without Sequence","65.00","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|NL","Without Sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|NL","Without Sequence","57.30","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|NL","Without Sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|NL","Without Sequence","40.00","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|NL","Without Sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|NL","Without Sequence","35.00","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|NL","Without Sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|NL","Without Sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|NL","Without Sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|NL","Without Sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|NL","Without Sequence","94.20","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|NL","Without Sequence","91.61","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|NL","Without Sequence","90.03","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|NL","Without Sequence","86.28","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|NL","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|NL","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|NL","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|NL","Without Sequence","104.45","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|NL","Without Sequence","130.21","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|NL","Without Sequence","140.67","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|NL","Without Sequence","123.10","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|NL","Without Sequence","101.65","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|NL","Without Sequence","96.77","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|NL","Without Sequence","93.04","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|NL","Without Sequence","88.61","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|NL","Without Sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|NL","Without Sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|NL","Without Sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|NL","Without Sequence","72.88","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|NL","Without Sequence","72.12","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|NL","Without Sequence","74.52","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|NL","Without Sequence","80.11","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|NL","Without Sequence","87.17","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|NL","Without Sequence","89.78","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|NL","Without Sequence","95.00","",""
